id	isolate	aliases	country	year	serotype	Sp_cgc_1000
1146	00-1350		UK [Scotland]	2000	16	
1147	jan/14		UK [Scotland]	2001	20	
1148	jan/21		UK [Scotland]	2001	33	
1149	jan/02		UK [Scotland]	2001	35	
1150	01-1747		UK [Scotland]	2001	18	
1151	100913	NCIMB 40794	UK	2002	3	
1152	jan/91		UK [Scotland]	2001	31	
1153	00-4964		UK [Scotland]	2000	10	
1154	763		Poland	1999	10A	
1155	636		Poland	1997	23F	
1156	67		Poland	1991	6A	
1157	267		Poland	1994	17F	
1158	654		Poland	1997	23F	
1159	568		Poland	1997	23F	
1160	615		Poland	1997	23F	
1161	678		Poland	1998	NT	
1162	718		Poland	1998	6B	
1163	437		Poland	1995	6B	
1164	2563		UK [England]	1997	9V	
1165	2634		UK [England]	1997	9V	
1166	1756		UK [England]	1999	19A	
1167	602		Poland	1997	23F	
1168	s1_71		South Africa	2001	1	
1169	s1_67		South Africa	2001	1	
1170	s1_125	48973	Kenya	2001	1	
1171	s1_128	50310	Kenya	2001	1	
1172	s1_87	P22	Chile	2001	1	
1173	s1_102	302	Poland	1995	1	
1174	s1_38	1328/01	Norway	2001	1	
1175	s1_99	940294	The Netherlands	2001	1	
1176	FJS55	11904	Germany	2002	14	
1177	PS255	3098	Germany	1992	14	
1178	PS665	3508	Germany	1993	14	
1179	PS1126	PS1226	Germany	1993	14	
1180	PS1325	4168	Germany	1994	14	
1181	PS1513	4356	Germany	1994	14	
1182	PS1545	4388	Germany	1994	14	
1183	PS1700	4543	Germany	1995	14	
1184	PS2037	4880	Germany	1996	14	
1185	PS2054	4897	Germany	1996	14	
1186	PS2153	4996	Germany	1996	14	
1187	PS2208	5051	Germany	1996	14	
1188	PS2035	4878	Germany	1996	14	
1189	PS1779	4622	Germany	1995	14	
1190	PS1710	4553	Germany	1995	14	
1191	PS1308	4151	Germany	1994	14	
1192	PS1175	PS1275	Germany	1993	14	
1193	PS1596	4439	Germany	1995	14	
1194	PS984	3827	Germany	1993	14	
1195	PS1271	4114	Germany	1994	23F	
1196	PS453	3296	Germany	1992	23F	
1197	EU27	05A051/6B	France	1997	6B	
1198	EU80	17B057/6B	Spain	1997	6B	
1199	EU39	06B011/19F	France	1997	19F	
1200	1081-00		USA	1999	14	
1201	4028-99		USA	1999	14	
1202	3869-00		USA	1999	6B	
1203	250-00		USA	1999	23F	
1204	7278-99		USA	1999	23F	
1205	4899-00		USA	1999	23F	
1206	3365-00		USA	1999	23F	
1207	473-00		USA	1999	23F	
1208	c99002004		USA	1999	11A	
1209	1858-00		USA	1999	9N	
1210	1056-00		USA	1999	9N	
1211	4595-00		USA	1999	9N	
1212	7792-99		USA	1999	14	
1213	4346-99		USA	1999	19A	
1214	4075-00		USA	1999	19F	
1215	7328-99		USA	1999	33F	
1216	5066-99		USA	1999	18C	
1217	4851-00		USA	1999	18C	
1218	c99002699		USA	1999	18C	
1219	c99002778		USA	1999	18C	
1220	5151-99		USA	1999	6B	
1221	4890-00		USA	1999	6B	
1222	5108-99		USA	1999	6B	
1223	4068-00		USA	1999	9V	
1224	579-00		USA	1999	9V	
1225	6379-99		USA	1999	9V	
1226	1864-00		USA	1999	19F	
1227	4403-99		USA	1999	6B	
1228	3494-00		USA	1999	19A	
1229	1710-99	Chile V1	Chile	1995	19F	
1230	7261-99		USA	1999	6A	
1231	5911-99		USA	1999	18C	
1232	3123-99		USA	1999	19F	
1233	4003-01	SF10753	USA	2001	19F	
1234	4415-99		USA	1999	19F	
1235	3063-00		USA	1999	19F	
1236	2064-00		USA	1999	5	
1237	5775-99		USA	1999	19F	
1238	7678-99		USA	1999	19F	
1239	4796-99		USA	1999	14	
1240	SN12EU	04A270/23F	France	1997	23F	
1241	EU38	06A131/14	France	1997	14	
1242	7114-99		USA	1999	16F	
1243	1662-00		USA	1999	6A	
1244	c99002096		USA	1999	23F	
1245	1175-00		USA	1999	NT	
1246	3802-99		USA	1999	19A	
1247	5374-99		USA	1999	7B	
1248	4065-00		USA	1999	19A	
1249	672-00		USA	1999	18C	
1250	6212-99		USA	1999	14	
1251	4741-00		USA	1999	NT	
1252	06B048/23F	06B048	France	1997	23F	
1253	19A007/14	19A007	Switzerland	1997	14	
1254	c992581		USA	1999	14	
1255	CHPA169		USA	1999	19A	
1256	03-1350		UK [Scotland]	2003	33	
1257	PN99		Italy	1998	14	
1258	102		Italy	1990	23F	
1259	PN81		Italy	1998	15A	
1260	PN84		Italy	1998	19A	
1261	PN130		Italy	1998	6A	
1262	SP265		Italy	1999	19F	
1263	SP356		Italy	2000	35F	
1264	PN131		Italy	1998	24F	
1265	PN150		Italy	1999	19F	
1266	SP6		Italy	1999	23F	
1267	PN126		Italy	1998	6B	
1268	SP95		Italy	1999	6B	
1269	226	MCM226	USA	1995	14	
1270	MCM217		USA	1995	14	
1271	PJ1440		Sweden	1997	19A	
1272	SME556		Sweden	1997	6A	
1273	SP4521		USA	2012	11A	
1274	KSP900		Japan	2013	15C	
1275	SME317		Sweden	1997	35F	
1276	03-1350		UK [Scotland]	2003	24	
1277	03-1111		UK [Scotland]	2003	19	
1278	03-1715		UK [Scotland]	2003	18	
1279	03-1738		UK [Scotland]	2003	19	
1280	MCM247		USA	1996	14	
1281	MCM205		USA	1995	14	
1282	CPHA97		USA	1999	6	
1283	CPHA52		USA	1999	19	
1284	MN06293		USA	2000	6A	
1285	MD72963		USA	2001	23F	
1286	TN01650		USA	2000	6B	
1287	MN06452		USA	2000	14	
1288	490-00		USA	1999	4	
1289	4657-00		USA	2003	4	
1290	7142-99		USA	2003	4	
1291	5851-99		USA	2003	4	
1292	1460-00		USA	2003	4	
1293	PN/00/2745		UK	2000	14	
1294	PN/02/726		UK	2002	18C	
1295	PN/02/740		UK	2002	22F	
1296	A2281		UK [England]	2003		
1297	2795-02		Kenya	2002	3	
1298	2804-02		Kenya	2002	3	
1299	2828-02		Kenya	2002	13	
1300	2831-02		Kenya	2002	13	
1301	2858-02		Kenya	2002	13	
1302	2797-02		Kenya	2002	20	
1303	2798-02		Kenya	2002	20	
1304	2829-02		Kenya	2002	15A	
1305	2847-02		Kenya	2002	15A	
1306	2793-02		Kenya	2002	16F	
1307	2794-02		Kenya	2002	16F	
1308	2854-02		Kenya	2002	16F	
1309	2843-02		Kenya	2002	9V	
1310	2859-02		Kenya	2002	9V	
1311	RP2022		Sweden	2001	14	
1312	RP1667		Sweden	2000	14	
1313	RP1956		Sweden	2001	14	
1314	SME184		Sweden	1997	6B	
1315	PJ1414		Sweden	1997	14	
1316	TN04198		USA	2000	19F	
1317	TN13308		USA	2001	23F	
1318	MN06248		USA	2000	23F	
1319	MN07359		USA	2001	14	
1320	mar/84		UK [Scotland]	2003	18C	
1321	mar/44		UK [Scotland]	2003	33	
1322	REJ	E-1503-E	Spain	1993	14	
1323	JVI	E-1929-E	Spain	1993	14	
1324	FMG	E-232472	Spain	1999	14	
1325	MII	E-234752	Spain	1999	14	
1326	FMS	E-233389	Spain	1999	14	
1327	RAL	E-234907	Spain	1999	14	
1328	TC1		Taiwan	1996	15	
1329	TC2		Taiwan	1998	23F	
1330	TC3		Taiwan	1998	NT	
1331	1113		Brazil	2000	14	
1332	1537		Brazil	2000	14	
1333	324		Brazil	2001	14	
1334	387		Brazil	2001	14	
1335	1997		Brazil	2001	14	
1336	2163		Brazil	2000	23A	
1337	1408		Brazil	1998	19F	
1338	2043		Brazil	2000	8	
1339	806		Brazil	2000	14	
1340	871		Brazil	2000	NT	
1341	1246		Brazil	1999	9N	
1342	776		Brazil	2001	9N	
1343	1634		Brazil	2001	14	
1344	1368		Brazil	2000	9V	
1345	531		Brazil	2001	19F	
1346	1603		Brazil	2000	NT	
1347	R2A		Brazil	2001	7F	
1348	1266		Brazil	2000	NT	
1349	1586		Brazil	2000	NT	
1350	1717		Brazil	2000	18C	
1351	12030		Brazil	2001	23F	
1352	1299		Brazil	2001	9V	
1353	1470		Brazil	1998	6A	
1354	163		Brazil	2001	23F	
1355	8951H		Brazil	2001	23F	
1356	1625		Brazil	2001	8	
1357	1625RI		Brazil	2001	8	
1358	2075		Brazil	2000	28A	
1359	163H		Brazil	2001	23F	
1360	290		Brazil	1996	23F	
1361	1426		Brazil	2000	11A	
1362	840		Brazil	2000	14	
1363	849		Brazil	2000	14	
1364	1972		Brazil	2000	14	
1365	937		Brazil	2000	6B	
1366	1287		Brazil	2000	10A	
1367	1902		Brazil	2001	6A	
1368	786		Brazil	2000	23B	
1369	1259		Brazil	2001	NT	
1370	1137		Brazil	2001	13	
1371	1825		Brazil	2001	35F	
1372	841		Brazil	2000	21	
1373	842		Brazil	2000	21	
1374	1515		Brazil	2001	23F	
1375	28830		Brazil	2001	19F	
1376	STR1HGB		Brazil	2001	13	
1377	329		Brazil	2001	23F	
1378	329H		Brazil	2001	23F	
1379	1349		Brazil	1995	4	
1380	192		Brazil	2001	7C	
1381	694		Brazil	2000	14	
1382	1981		Brazil	2000	17F	
1383	11365		Brazil	2001	17F	
1384	993		Brazil	2000	40	
1385	794		Brazil	2001	10A	
1386	1903		Brazil	2000	10A	
1387	1006		Brazil	2001	10A	
1388	4128		Brazil	2002	34	
1389	403		Brazil	2001	6A	
1390	1737		Brazil	2001	35F	
1391	1408		Brazil	2001	23F	
1392	1035		Brazil	2001	6A	
1393	318		Brazil	2002	6A	
1394	873		Brazil	2001	6B	
1395	1877		Brazil	2001	19F	
1396	967		Brazil	1999	6B	
1397	538		Brazil	1996	6B	
1398	1855		Brazil	2000	9V	
1399	1444		Brazil	2001	6A	
1400	205HGB		Brazil	2001	NT	
1401	1742		Brazil	2000	38	
1402	574		Brazil	2001	38	
1403	1684		Brazil	2001	38	
1404	20832		Brazil	2001	6B	
1405	20832RI		Brazil	2001	6B	
1406	1036		Brazil	2000	6A	
1407	518		Brazil	2001	20	
1408	518H		Brazil	2001	20	
1409	305		Brazil	2000	6A	
1410	616		Brazil	2001	6A	
1411	828		Brazil	2001	6A	
1412	2266		Brazil	2002	10A	
1413	859		Brazil	2000	13	
1414	1650		Brazil	2001	20	
1415	1227		Brazil	2000	19F	
1416	538		Brazil	2001	5	
1417	1852		Brazil	2001	5	
1418	11285Dor		Brazil	2001	16F	
1419	1870		Brazil	1998	15B	
1420	45		Brazil	1996	8	
1421	1691		Brazil	1996	20	
1422	1640		Brazil	2000	6B	
1423	215HGB		Brazil	2001	4	
1424	R1A		Brazil	2001	34	
1425	1651		Brazil	2001	NT	
1426	COLO35	E574	Colombia	2002	14	
1427	URUG14	1185	Uruguay	1999	23F	
1428	ARGE12	2017	Argentina	1998	23F	
1429	ARGE17	5102	Argentina	2001	23F	
1430	ARGE20	5244	Argentina	2001	23F	
1431	ARGE13	2058	Argentina	1998	23F	
1432	ARGE16	4111	Argentina	2000	23F	
1433	ARGE18	5229	Argentina	1997	23F	
1434	URUG16	1203	Uruguay	1999	23F	
1435	MEXI4	28HSLP	Mexico	2002	14	
1436	HUNG22	13456/01	Hungary	2001	6	
1437	BRAZ1	st.13.01	Brazil	2001	14	
1438	COLO31	E346	Colombia	2000	14	
1439	HUNG24	23905/01	Hungary	2001	14	
1440	MEXI2	27H.Cardiologia	Mexico	1998	14	
1441	ARGE24	5022	Argentina	1997	6B	
1442	URUG2	313	Uruguay	1995	14	
1443	HUNG40	10662/02	Hungary	2002	14	
1444	CZEC45	135523	Czech Republic	1996	19A	
1445	HUNG26	30592/01	Hungary	2001	19	
1446	HUNG8	29964/00	Hungary	2000	6	
1447	HUNG1	dez/95	Hungary	2000	19	
1448	HUNG35	323/02	Hungary	2001	19A	
1449	URUG12	943	Uruguay	1997	23F	
1450	BRAZ2	st.162.01	Brazil	2001	14	
1451	ARGE2	4066	Argentina	1996	14	
1452	BRAZ7	st.282.02	Brazil	2002	14	
1453	HUNG2	11092/00	Hungary	2000	19	
1454	CZEC12	3608	Czech Republic	2001	4	
1455	CZEC13	2968	Czech Republic	2001	4	
1456	MEXI17	8HSLP	Mexico	2000	23F	
1457	URUG17	1311	Uruguay	2000	23F	
1458	ARGE11	2004	Argentina	1994	23F	
1459	BRAZ17	st.199.02	Brazil	2002	23F	
1460	URUG20	1570	Uruguay	2001	23F	
1461	URUG7	915	Uruguay	1997	5	
1462	CZEC11	88	Czech Republic	2000	4	
1463	PN6		Italy	1996	6B	
1464	PN20		Italy	1997	6B	
1465	PN68		Italy	1997	6B	
1466	00-2328		UK [Scotland]	2000	6	
1467	jan/25		UK [Scotland]	2001	6	
1468	jan/49		UK [Scotland]	2001	8	
1469	03-1305		UK [Scotland]	2003	10	
1470	fev/84		UK [Scotland]	2002	15	
1471	jan/13		UK [Scotland]	2001	18	
1472	jan/79		UK [Scotland]	2001	22	
1473	03-1228		UK [Scotland]	2003	4	
1474	KSP907		Japan	2013	22F	
1475	03-1412		UK [Scotland]	2003	20	
1476	03-1414		UK [Scotland]	2003	23	
1477	03-1875		UK [Scotland]	2003	19	
1478	03-1882		UK [Scotland]	2003	18	
1479	mar/35		UK [Scotland]	2003	22F	
1480	mar/02		UK [Scotland]	2003	22F	
1481	mar/34		UK [Scotland]	2003	7F	
1482	mar/12		UK [Scotland]	2003	NT	
1483	mar/10		UK [Scotland]	2003	22F	
1484	mar/25		UK [Scotland]	2003	23F	
1485	mar/36		UK [Scotland]	2003	9N	
1486	mar/31		UK [Scotland]	2003	8	
1487	mar/11		UK [Scotland]	2003	14	
1488	mar/30		UK [Scotland]	2003	31	
1489	mar/39		UK [Scotland]	2003	9V	
1490	mar/48		UK [Scotland]	2003	19F	
1491	2850-02		Kenya	2002	35A	
1492	2844-02		Kenya	2002	34	
1493	108-03		Kenya	2002	14	
1494	107-03		Kenya	2002	14	
1495	218-03		Kenya	2002	11A	
1496	2848-02		Kenya	2002	19F	
1497	2815-02		Kenya	2002	6A	
1498	197-03		Kenya	2002	7C	
1499	2805-02		Kenya	2002	19A	
1500	2806-02		Kenya	2002	19A	
1501	110-03		Kenya	2002	17F	
1502	2813-02		Kenya	2002	19F	
1503	2824-02		Kenya	2002	23F	
1504	2823-02		Kenya	2002	23F	
1505	2825-02		Kenya	2002	23F	
1506	190-03		Kenya	2002	11A	
1507	112-03		Kenya	2002	10A	
1508	2841-02		Kenya	2002	4	
1509	134-03		Kenya	2002	6A	
1510	CHW9	FL129R	Australia	2000	6A	
1511	CHW10	HK789R	Australia	2000	19A	
1512	CHW11	MJ2225R	Australia	2001	15C	
1513	davidtest	01L02B077	Brazil	2000	12F	
1514	GR272		Greece	2003	19F	
1515	GR37		Greece	2003	6B	
1516	00-5197		UK [Scotland]	2000	9	
1517	B10-324		Japan	2010	14	
1518	mar/80		UK [Scotland]	2003	3	
1519	mar/38		UK [Scotland]	2003	16F	
1520	mar/61		UK [Scotland]	2003	9V	
1521	RP2256		Sweden	2001	14	
1522	03-1866		UK [Scotland]	2003	22	
1523	mar/44		UK [Scotland]	2003	4	
1524	mar/95		UK [Scotland]	2003	22F	
1525	mar/59		UK [Scotland]	2003	8	
1526	CH M2		China	2000	18	
1527	HK P74		China	2001	1	
1528	HK P118		China	2001	19F	
1529	SI P8		Singapore	2000	23F	
1530	CH O7		China	2000	19F	
1531	CH O23		China	2001	19F	
1532	India O13		India	2000	6B	
1533	CH P13		China	2001	14	
1534	TW M35		Taiwan	2000	14	
1535	Kor 55		South Korea	2001	6B	
1536	SL M1		Sri Lanka	2000	23F	
1537	SL P16		Sri Lanka	2001	19F	
1538	Mal P15		Malaysia	2000	19F	
1539	CH P53		China	2001	NT	
1540	Kor 125		South Korea	1998	23F	
1541	Kor 6		South Korea	2000	23F	
1542	VN O23		Vietnam	2000	6A	
1543	Mal P12		Malaysia	2000	19	
1544	TC4		Taiwan	1996	NT	
1545	HK P46		China	2000	14	
1546	HK P60		China	2001	14	
1547	TW M2		Taiwan	2000	14	
1548	TW M10		Taiwan	2000	14	
1549	TW M26		Taiwan	2000	14	
1550	TW M38		Taiwan	2001	14	
1551	HK P68		China	2001	6B	
1552	HK P1		China [Hong Kong]	2000	23F	
1553	HK P38		China [Hong Kong]	2000	23F	
1554	HK P57		China [Hong Kong]	2001	23F	
1555	HK P58		China [Hong Kong]	2001	19F	
1556	HK P65		China [Hong Kong]	2001	23F	
1557	Kor 59		South Korea	2001	23F	
1558	Kor 107		South Korea	1999	23F	
1559	Kor 142		South Korea	1998	23F	
1560	Mal M6		Malaysia	1999	19F	
1561	Mal M12		Malaysia	1999	19F	
1562	Mal P4		Malaysia	1999	19F	
1563	SI M1		Singapore	2000	23F	7
1564	SI O1		Singapore	2000	19F	
1565	SI O2		Singapore	2000	23F	
1566	SI P12		Singapore	2000	19F	
1567	Th 5		Thailand	2000	19F	
1568	Th 13		Thailand	2000	19F	
1569	Th 32		Thailand	2000	23F	
1570	Th 83		Thailand	2000	23F	
1571	Th104		Thailand	2001	23F	
1572	TW M30		Taiwan	2000	19F	
1573	VN B15		Vietnam	2000	NT	
1574	Kor 9		South Korea	2000	11	
1575	Mal M1		Malaysia	1999	23F	
1576	Th 61		Thailand	2000	6A	
1577	TW M15		Taiwan	2000	NT	
1578	Kor 10		South Korea	2000	9	
1579	Kor 60		South Korea	2001	11	
1580	Kor 35		South Korea	1999	9V	
1581	VN B11		Vietnam	2000	NT	
1582	CH P1		China	2000	19F	
1583	CH P56		China	2001	19F	
1584	CH O18		China	2000	19F	
1585	Kor 51		South Korea	2001	19F	
1586	Kor 58		South Korea	2001	19F	
1587	Kor 63		South Korea	2001	19F	
1588	Mal M10		Malaysia	1999	19F	
1589	Mal M15		Malaysia	1999	19F	
1590	Mal P9		Malaysia	1999	19F	
1591	Mal P14		Malaysia	2000	19F	
1592	TW O8		Taiwan	2000	19F	
1593	TW O10		Taiwan	2000	19F	
1594	TW P1		Taiwan	2000	19F	
1595	VN B1		Vietnam	1999	19F	
1596	VN M9		Vietnam	2001	19F	
1597	HK P26		China	2000	19F	
1598	HK P129		China	2001	19F	
1599	CH P52		China	2001	23F	
1600	TW O5		Taiwan	2000	23F	
1601	CH O67		China	2001	19F	
1602	CH P70		China	2001	19F	
1603	HK P140		China	2001	19F	
1604	Kor 2		South Korea	2000	19F	
1605	Kor 31		South Korea	1999	19F	
1606	Kor 154		South Korea	1998	19F	
1607	VN O1		Vietnam	1999	19F	
1608	VN O8		Vietnam	2000	19F	
1609	VN O18		Vietnam	2000	19F	
1610	SL P9		Sri Lanka	2001	6B	
1611	SL P14		Sri Lanka	2001	23F	
1612	CH P16		China	2001	19A	
1613	HK P7		China	2000	19F	
1614	HK P18		China	2000	19F	
1615	HK P37		China	2000	19F	
1616	Kor 3		South Korea	2000	19A	
1617	Kor 15		South Korea	2000	19F	
1618	CH O9		China	2000	NT	
1619	VN B17		Vietnam	2000	14	
1620	VN M10		Vietnam	2001	14	
1621	Mal M19		Malaysia	1999	23A	
1622	SL P1		Sri Lanka	2000	6B	
1623	CH O1		China	2000	19F	
1624	PT 51b		Portugal	2001	6B	
1625	PT 542		Portugal	2001	23F	
1626	PT 1605		Portugal	2001	6B	
1627	PT 1804b		Portugal	2001	NT	
1628	PT 2094		Portugal	2002	6A	
1629	PT 2143		Portugal	2002	19A	
1630	PT 2162		Portugal	2002	6A	
1631	PT 2771		Portugal	2002	6A	
1632	PT 2807		Portugal	2002	14	
1633	PT 2867		Portugal	2002	6A	
1634	PT 3026		Portugal	2002	6B	
1635	307		Portugal	1998	6B	
1636	2859		Portugal	1999	NT	
1637	PTRL0100		Portugal	1999	6B	
1638	CTC0298		USA	2002	14	
1639	MD73696		USA	2002	4	
1640	C113840		USA	2001	18C	
1641	HK O17		China	2001	pool H	
1642	SI P32		Singapore	2000	6B	
1643	Th 42		Thailand	2000	19F	
1644	Mal M4		Malaysia	1999	6A	
1645	TW M3		Taiwan	2000	6B	
1646	TW M7		Taiwan	2000	12	
1647	Kor 4		South Korea		pool F	
1648	billtest	3224	Spain	1989		
1649	Gambia40	2061	The Gambia		14	
1650	Gambia35	2163	The Gambia		27	
1651	Gambia24	2063	The Gambia		11	
1652	Gambia26	2047	The Gambia		42	
1653	Gambia13	2145	The Gambia		9	
1654	Gambia3	2035	The Gambia		6B	
1655	Gambia4	2160	The Gambia		6B	
1656	Gambia22	2100	The Gambia		14	
1657	Gambia6	2037	The Gambia		15	
1658	Gambia37	2164	The Gambia		15	
1659	Gambia31	2198	The Gambia		23	
1660	Gambia19	2108	The Gambia		6B	
1661	Gambia36	2129	The Gambia		21	
1662	Gambia34	2152	The Gambia		34	
1663	Gambia14	2110	The Gambia		17F	
1664	Gambia18	2109	The Gambia		13	
1665	Gambia42	2142	The Gambia		33	
1666	Gambia12	2022	The Gambia		23	
1667	Gambia32	2034	The Gambia		19	
1668	Gambia23	2196	The Gambia		23	
1669	Gambia10		The Gambia		42	
1670	Gambia7	2174	The Gambia		19	
1671	2949/00		Spain	2000	9N	
1672	505/98		Spain	1998	19F	
1673	3115/99		Spain	1999	9V	
1674	3085/99		Spain	1999	4	
1675	3224/99		Spain	1999	19F	
1676	684/98		Spain	1998	11	
1677	1298/00		Spain	2000	6B	
1678	2795/99		Spain	1999	18C	
1679	1634/99		Spain	1999	NT	
1680	2850/00		Spain	2000	NT	
1681	1379/01		Spain	2001	NT	
1682	1836/00		Spain	2000	NT	
1683	1071/98		Spain	1998	NT	
1684	CHPA74		USA	1999	35	
1685	NCTC7465	CACF00000000	USA	1948	1	3
1686	mar/89		UK [Scotland]	2003	8	
1687	IOPR6469-83		Finland		23F	
1688	IOPR2706-98		Finland		23F	
1689	IOPR548-88		Finland		6B	
1690	IOPR955-82		Finland		6B	
1691	IOPR1829-44		Finland		14	
1692	IOPR6079-73		Finland		23F	
1693	IOPR2979-20		Finland		23F	
1694	IOPR267-87		Finland		14	
1695	IOPR1464-45		Finland		6B	
1696	IOPR1592		Finland		23F	
1697	IOPR2924		Finland		23F	
1698	IOPR1420-12		Finland		23F	
1699	IOPR2994-48		Finland		14	
1700	IOPR2348-48		Finland		23F	
1701	LAR 10		Poland	2011	19F	
1702	IOPR3526-76		Finland		6B	
1703	IOPR1394-92		Finland		23F	
1704	IOPR1887-80		Finland		23F	
1705	IOPR6340-56		Finland		6B	
1706	IOPR6343-14		Finland		6B	
1707	IOPR5985-21		Finland		23F	
1708	NP 26		Poland	2011	10A	
1709	IOPR1355-05		Finland		6B	
1710	IOPR2064-29		Finland		6B	
1711	IOPR5605-66		Finland		6B	
1712	IOPR6430-83		Finland		14	
1713	IOPR4771-20		Finland		6B	
1714	IOPR5652-28		Finland		6B	
1715	IOPR3560-42		Finland		6B	
1716	IOPR2658-87		Finland		23F	
1717	IOPR3714-88		Finland		6B	
1718	IOPR2250-67		Finland		23F	
1719	IOPR2931-39		Finland		23F	
1720	IOPR2115-72		Finland		6B	
1721	99-4041		UK [Scotland]	1999	17	
1722	jan/68		UK [Scotland]	2001	33F	
1723	SI P4		Singapore	2000	6B	
1724	CH O29		China	2001	6A	
1725	HK P15		China	2000	19F	
1726	HK P155		China	2001	13	
1727	HK O10		China	2000	4	
1728	Mal P13		Malaysia	2000	19F	
1729	2812-02		Kenya	2002	6B	
1730	2852-02		Kenya	2002	23F	
1731	118-03		Kenya	2002	12F	
1732	2839-02		Kenya	2002	6B	
1733	152-03		Kenya	2002	15A	
1734	2840-02		Kenya	2002	15A	
1735	3.3	2850-02	Kenya		35A	
1736	1.4	146-03	Kenya		15A	
1737	1.3	2829-02	Kenya		15A	
1738	1.1	103-03	Kenya		13	
1739		2828-02	Kenya		13	
1740		2831-02	Kenya		13	
1741		2858-02	Kenya		13	
1742		2844-02	Kenya		34	
1743		107-03	Kenya		14	
1744		108-03	Kenya		14	
1745		218-03	Kenya		11A	
1746		2843-02	Kenya		9V	
1747		2859-02	Kenya		9V	
1748		2848-02	Kenya		19F	
1749		2857-02	Kenya		4	
1750		2815-02	Kenya		6A	
1751	1.6	197-03	Kenya		7C	
1752	1.2	2793-02	Kenya		16F	
1753	2.2	2794-02	Kenya		16F	
1754	2.6	2854-02	Kenya		16F	
1755	3.2	2805-02	Kenya		19A	
1756	3.1	2806-02	Kenya		19A	
1757	2.3	110-03	Kenya		48	
1758	1.5	2812-02	Kenya		6B	
1759	2.1	2852-02	Kenya		23F	
1760	3.4	2813-02	Kenya		19F	
1761	3.5	118-03	Kenya		6B	
1762	3.6	2795-02	Kenya		3	
1763	4.1	2804-02	Kenya		3	
1764	4.2	2839-02	Kenya		6B	
1765	4.3	2797-02	Kenya		20	
1766	4.4	2798-02	Kenya		20	
1767	4.5	2823-02	Kenya		23F	
1768	4.6	2824-02	Kenya		23F	
1769	5.1	2825-02	Kenya		23F	
1770	5.2	190-03	Kenya		11A	
1771	5.3	112-03	Kenya		10A	
1772	5.4	2841-02	Kenya		4	
1773	5.5	152-03	Kenya		15A	
1774	5.6	2840-02	Kenya		15A	
1775	6.1	2847-02	Kenya		15A	
1776	6.2	134-03	Kenya		6A	
1777	mar/08		UK [Scotland]	2003	23A	
1778	mar/71		UK [Scotland]	2003	4	
1779	2911		Portugal	1998	19C	
1780	5763-99	CT90238	USA	1999	16	
1781	4477-99	SF10339	USA	1998	14	
1782	3063-01	TN01128	USA	2000	19F	
1783	jan/77		UK [Scotland]	2001	18	
1784	02-1208		UK [Scotland]	2001	9	
1785	jan/62		UK [Scotland]	2001	15	
1786	mar/90		UK [Scotland]	2003	15B	
1787	mar/42		UK [Scotland]	2003	6B	
1788	CHPA230		USA	2001	3	
1789	1405		Poland	2000	16F	
1790	652		Poland	1997	31	
1791	760		Poland	2002	19F	
1792	13		Poland	2001	19A	
1793	267		Poland	2001	9N	
1794	85		Poland	2001	11B	
1795	5323		Poland	1999	11A	
1796	543		Poland	1997	6B	
1797	1253		Poland	2001	23A	
1798	694		Poland	1998	11A	
1799	559		Poland	1997	6B	
1800	7145		Poland	1999	8	
1801	1577		Poland	2002	6A	
1802	2961		Poland	2001	34	
1803	612		Poland	1997	18C	
1804	2577		Poland	2001	18C	
1805	588		Poland	1997	22F	
1806	566		Poland	1997	6A	
1807	2436		Poland	1996	35C	
1808	1159		Poland	2001	7C	
1809	2939		Poland	2001	4	
1810	581		Poland	1997	7F	
1811	2102		Poland	2001	3	
1812	547		Poland	1997	15B/C	
1813	796		Poland	2001	15B/C	
1814	712		Poland	1998	20	
1815	6045		Poland	1999	19F	
1816	720		Poland	1998	35F	
1817	676		Poland	1998	19F	
1818	1437		Poland	2000	20	
1819	1625		Poland	2002	1	
1820	1845		Poland	2001	6B	
1821	3420		Poland	2000	NT	
1822	E-231294	1	Spain	2002	3	
1823	E-231788	2	Spain	2002	3	
1824	E-232126	3	Spain	2002	3	
1825	C-218364	5	Spain	2002	3	
1826	jan/93		UK [Scotland]	2001	6	
1827	mar/72		UK [Scotland]	2003	9V	
1828	mar/12		Greece	2003	6B	
1829	mar/16		Greece	2003	6A	
1830	mar/29		India	2002		
1831	mar/33		India	2002		
1832	mar/67		UK [Scotland]	2003	23A	
1833	mar/79		UK [Scotland]	2003	34	
1834	3569		Portugal	2000	14	
1835	2929		Portugal	1999	14	
1836	mar/04		UK [Scotland]	2003	23F	
1837	mar/64		UK [Scotland]	2003	19F	
1838	mar/73		UK [Scotland]	2003	33	
1839	mar/31		India	2003	19F	
1840	mar/35		India	2003	19F	
1841	1212		Poland	2001	6A	
1842	2520		Poland	1998	11A	
1843	6302		Poland	1999	23F	
1844	k-460		Poland	1996	6B	
1845	1911		Poland	2000	6B	
1846	IOPR 5268		Finland		NT	
1847	IOPR 2619		Finland		NT	
1848	CHW12	BH3474R	Australia	2003	6B	
1849	CHW13		Australia	2003	22F	
1850	CHW14	RR2081R	Australia	2001	6B	
1851	CHW15	MM2012R	Australia	2001	23F	
1852	CHW16	SM3075R	Australia	2002	6B	
1853	CHW17	PM3660R	Australia	2003	19F	
